City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Itoman,JP,26.1247,127.6694,64.42,77,75,18.41,broken clouds
203,Kemijarvi,FI,66.7131,27.4306,18.07,80,100,6.02,overcast clouds
204,La Ronge,CA,55.1001,-105.2842,19.62,73,100,11.5,overcast clouds
205,Krasnoselkup,RU,65.7,82.4667,-0.54,100,86,7.78,overcast clouds
206,Inta,RU,66.0317,60.1659,22.71,80,100,10.83,overcast clouds
207,Plouzane,FR,48.3833,-4.6167,57.38,64,0,5.75,clear sky
208,Mahebourg,MU,-20.4081,57.7,76.24,73,7,6.85,clear sky
209,Fairbanks,US,64.8378,-147.7164,40.96,56,0,3.44,clear sky
210,Longyearbyen,SJ,78.2186,15.6401,4.84,72,46,17.27,scattered clouds
211,Nalut,LY,30.3333,10.85,64.22,36,21,10.96,few clouds
212,Leningradskiy,RU,69.3833,178.4167,0.79,83,14,3.13,few clouds
213,Hammerfest,NO,70.6634,23.6821,12.65,62,15,2.3,few clouds
214,Beringovskiy,RU,63.05,179.3167,8.19,85,46,7.76,scattered clouds
215,Port Hedland,AU,-20.3167,118.5667,86.05,66,98,10.36,overcast clouds
216,Motygino,RU,58.1831,94.7592,-10.64,100,100,0.31,overcast clouds
217,Nanortalik,GL,60.1432,-45.2371,28.42,82,61,4.76,broken clouds
218,Kitsuki,JP,33.4167,131.6167,51.31,65,100,7.02,overcast clouds
219,Clyde River,CA,70.4692,-68.5914,-3.68,96,99,4.21,overcast clouds
220,Srednekolymsk,RU,67.45,153.6833,9.77,76,41,3.65,scattered clouds
221,Pitimbu,BR,-7.4706,-34.8086,79.39,85,97,9.71,light rain
222,Tautira,PF,-17.7333,-149.15,81.59,75,71,14.34,light rain
223,Saint George,US,37.1041,-113.5841,84.25,9,0,13.8,clear sky
224,Nome,US,64.5011,-165.4064,28.47,69,0,5.75,clear sky
225,Merauke,ID,-8.4667,140.3333,82.22,78,97,13.73,overcast clouds
226,Grand Island,US,40.925,-98.342,47.19,26,0,12.66,clear sky
227,Byron Bay,AU,-28.65,153.6167,70.72,91,99,5.35,light rain
228,Codrington,AU,-38.2667,141.9667,64.98,67,88,10.02,overcast clouds
229,Teknaf,BD,20.8624,92.3058,75.69,89,13,2.04,few clouds
230,Ahtopol,BG,42.1,27.95,46.09,86,75,3.15,broken clouds
231,Jalu,LY,29.0331,21.5482,60.39,21,0,10.33,clear sky
232,Ciudad Bolivar,VE,8.1222,-63.5497,85.51,53,81,15.66,broken clouds
233,Kailua,US,21.4022,-157.7394,80.15,69,13,4.0,few clouds
234,Guane,CU,22.2025,-84.0875,74.3,50,1,9.86,clear sky
235,Purranque,CL,-40.9167,-73.1667,47.28,80,12,3.06,few clouds
236,Luderitz,NA,-26.6481,15.1594,63.52,72,0,5.19,clear sky
237,Muros,ES,42.7762,-9.0603,56.08,83,100,4.97,overcast clouds
238,Tanabe,JP,33.7333,135.3667,57.92,53,86,5.99,overcast clouds
239,Huangnihe,CN,43.5583,128.0239,37.13,36,2,12.5,clear sky
240,Phalaborwa,ZA,-23.943,31.1411,68.4,89,21,6.91,few clouds
241,Yulara,AU,-25.2406,130.9889,78.64,17,67,8.05,broken clouds
242,Baracoa,CU,20.3467,-74.4958,73.6,69,61,11.99,broken clouds
243,Honiara,SB,-9.4333,159.95,84.58,74,98,2.37,overcast clouds
244,Acari,PE,-15.4311,-74.6158,74.07,73,69,4.38,broken clouds
245,Karratha,AU,-20.7377,116.8463,82.11,66,100,9.55,overcast clouds
246,Russell,US,32.3502,-85.1999,67.6,41,0,6.91,clear sky
247,Isangel,VU,-19.55,169.2667,83.48,69,50,7.74,scattered clouds
248,Airai,TL,-8.9266,125.4092,67.12,73,84,0.49,broken clouds
249,Praia,CV,14.9215,-23.5087,70.34,73,20,10.36,few clouds
250,Faanui,PF,-16.4833,-151.75,82.17,72,24,11.54,few clouds
251,Wanaka,NZ,-44.7,169.15,66.11,59,0,1.01,clear sky
252,Chingirlau,KZ,51.095,54.0814,31.69,94,100,13.53,overcast clouds
253,Ennis,IE,52.8436,-8.9864,44.53,87,0,3.44,clear sky
254,Tuatapere,NZ,-46.1333,167.6833,67.46,59,2,4.97,clear sky
255,Camopi,GF,3.1655,-52.3158,72.39,98,100,2.66,overcast clouds
256,Kaminskiy,RU,57.1516,41.4732,18.21,85,100,16.28,overcast clouds
257,Carballo,ES,43.213,-8.691,58.42,87,100,1.81,overcast clouds
258,Berlevag,NO,70.8578,29.0864,13.8,70,100,5.28,light snow
259,Biltine,TD,14.5333,20.9167,70.92,6,11,17.29,few clouds
260,Fort Frances,CA,48.5999,-93.4003,18.16,35,0,9.22,clear sky
261,Ostrovnoy,RU,68.0531,39.5131,19.85,76,100,8.28,light snow
262,Mao,ES,39.8885,4.2658,52.36,100,0,9.22,clear sky
263,Kanelovskaya,RU,46.5908,39.19,31.59,53,79,15.73,broken clouds
