City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
448,Caramay,99,PH,2022-03-27 03:27:52,79,10.1815,119.236,82.8,5.91
449,Westport,100,US,2022-03-27 03:26:23,92,41.1415,-73.3579,45.09,3.0
450,Kaitangata,1,NZ,2022-03-27 03:27:53,68,-46.2817,169.8464,61.02,6.8
451,Dalnegorsk,16,RU,2022-03-27 03:27:55,81,44.5604,135.5701,37.54,14.0
452,Kupang,35,ID,2022-03-27 03:27:55,70,-10.1667,123.5833,84.6,3.83
453,Mao,100,ES,2022-03-27 03:27:56,88,39.8885,4.2658,55.96,13.8
454,Maniwaki,100,CA,2022-03-27 03:27:56,87,46.3834,-75.966,35.98,4.61
455,Mozhaysk,100,RU,2022-03-27 03:28:56,88,55.5019,36.0272,22.91,19.6
456,Xiaolingwei,100,CN,2022-03-27 03:28:57,62,32.0333,118.85,64.38,10.11
457,Dakar,0,SN,2022-03-27 03:27:16,100,14.6937,-17.4441,64.53,4.61
458,Caranavi,95,BO,2022-03-27 03:28:58,99,-15.8167,-67.55,60.46,1.19
459,San Matias,62,BO,2022-03-27 03:28:58,87,-16.3667,-58.4,72.07,1.81
460,Beisfjord,98,NO,2022-03-27 03:28:59,89,68.3751,17.5988,23.05,8.37
461,Petapa,75,GT,2022-03-27 03:28:59,76,14.5028,-90.5517,68.25,18.41
462,Junagadh,6,IN,2022-03-27 03:28:59,28,21.5167,70.4667,85.03,6.02
463,Petatlan,35,MX,2022-03-27 03:29:00,53,17.5167,-101.2667,71.91,3.62
464,Sosnovka,100,RU,2022-03-27 03:29:00,98,56.255,51.2842,32.65,11.34
465,Cochrane,100,CA,2022-03-27 03:29:01,53,51.1834,-114.4687,39.61,5.75
466,Dalby,70,AU,2022-03-27 03:29:01,52,-27.1833,151.2667,81.99,1.01
467,Mikhaylovsk,0,RU,2022-03-27 03:29:02,70,45.1283,42.0256,37.62,26.84
468,Pevek,100,RU,2022-03-27 03:29:03,91,69.7008,170.3133,4.62,6.33
469,Ulladulla,100,AU,2022-03-27 03:29:03,69,-35.35,150.4667,71.76,3.58
470,Lowestoft,4,GB,2022-03-27 03:29:04,95,52.4752,1.7516,45.45,8.21
471,Vila,93,PT,2022-03-27 03:29:04,85,42.0304,-8.1588,47.28,4.29
472,Yurimaguas,91,PE,2022-03-27 03:29:04,92,-5.9,-76.0833,72.77,1.45
473,Inhambane,94,MZ,2022-03-27 03:29:05,88,-23.865,35.3833,72.46,6.62
474,Nanortalik,99,GL,2022-03-27 03:29:05,76,60.1432,-45.2371,25.52,8.63
475,Verkhnevilyuysk,99,RU,2022-03-27 03:29:06,89,63.4453,120.3167,25.79,3.71
476,Chaozhou,100,CN,2022-03-27 03:29:06,85,23.6651,116.6379,64.26,4.38
477,Perth,75,AU,2022-03-27 03:24:19,69,-31.9333,115.8333,74.17,20.71
478,Tessalit,51,ML,2022-03-27 03:29:07,13,20.1986,1.0114,80.13,10.83
479,Ternate,100,ID,2022-03-27 03:29:07,68,0.8,127.4,84.22,6.82
480,Petropavlovsk-Kamchatskiy,0,RU,2022-03-27 03:24:43,51,53.0452,158.6483,30.79,15.66
481,Kurilsk,99,RU,2022-03-27 03:29:08,95,45.2333,147.8833,35.22,18.77
482,Grafton,75,US,2022-03-27 03:29:08,81,42.207,-71.6856,41.45,11.5
483,Nyurba,94,RU,2022-03-27 03:29:08,89,63.2842,118.3319,25.48,2.77
484,Batticaloa,0,LK,2022-03-27 03:29:09,79,7.7102,81.6924,81.1,6.62
485,Togitsu,20,JP,2022-03-27 03:29:09,59,32.8333,129.85,64.38,10.36
486,Anadyr,85,RU,2022-03-27 03:29:10,78,64.75,177.4833,-1.7,2.24
487,Rondonopolis,56,BR,2022-03-27 03:29:10,94,-16.4708,-54.6356,72.37,2.24
488,Raudeberg,100,NO,2022-03-27 03:29:10,88,61.9875,5.1352,42.96,22.62
489,Iquitos,0,PE,2022-03-27 03:29:11,94,-3.7481,-73.2472,77.04,2.3
490,Catuday,51,PH,2022-03-27 03:29:11,66,16.2923,119.8062,85.24,9.01
491,Oranjemund,0,NA,2022-03-27 03:29:12,79,-28.55,16.4333,59.0,5.61
492,Tommot,99,RU,2022-03-27 03:29:12,78,58.9564,126.2925,25.63,5.3
493,Vereeniging,0,ZA,2022-03-27 03:29:12,79,-26.6731,27.9261,54.1,3.15
494,Ikalamavony,30,MG,2022-03-27 03:29:13,91,-21.15,46.5833,67.84,4.03
495,Hyeres,0,FR,2022-03-27 03:29:13,47,43.1167,6.1167,59.99,5.75
496,Peleduy,100,RU,2022-03-27 03:29:14,76,59.6289,112.7406,26.31,3.49
497,Namwala,42,ZM,2022-03-27 03:29:14,96,-15.7504,26.4384,65.07,1.45
498,Krasnyy Luch,100,UA,2022-03-27 03:29:14,95,48.1395,38.9371,37.53,18.48
499,Praia,20,CV,2022-03-27 03:29:15,73,14.9215,-23.5087,68.54,9.22
