City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
250,Faanui,PF,82.17,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Wanaka,NZ,66.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
252,Chingirlau,KZ,31.69,overcast clouds,51.095,54.0814,
253,Ennis,IE,44.53,clear sky,52.8436,-8.9864,Auburn Lodge Hotel
254,Tuatapere,NZ,67.46,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
255,Camopi,GF,72.39,overcast clouds,3.1655,-52.3158,La pousada
257,Carballo,ES,58.42,overcast clouds,43.213,-8.691,Pazo do Souto
259,Biltine,TD,70.92,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
262,Mao,ES,52.36,clear sky,39.8885,4.2658,ARTIEM Capri
263,Kanelovskaya,RU,31.59,broken clouds,46.5908,39.19,
264,Gamba,GA,77.68,moderate rain,-2.65,10.0,
265,Ondjiva,AO,68.27,few clouds,-17.0667,15.7333,COMBUESA
267,Talara,PE,73.92,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
268,High Rock,BS,69.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
269,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
270,Lompoc,US,62.53,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
271,Miyazu,JP,48.4,overcast clouds,35.5333,135.1833,Seikiro
272,Saint-Augustin,CA,33.69,overcast clouds,51.226,-58.6502,
273,Souillac,MU,77.02,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
274,Pangkalanbuun,ID,77.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
275,Slave Lake,CA,36.95,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
276,Coolum Beach,AU,73.35,light rain,-26.5333,153.1,Coolum Beach Resort
277,Masallatah,LY,59.86,overcast clouds,32.6167,14.0,Mustafa Taher Sowaidan
278,Ariquemes,BR,74.21,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
279,Bilma,NE,70.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
280,Waipawa,NZ,57.47,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
